method,dimension,value,n_gt_instances,rescued,lost,both_detected,still_missed,model,confidence_threshold
bytetrack_persist_1,severity,severe_blur,65,0,0,1,64,yolov8n.pt,0.15
bytetrack_persist_1,class,backpack,21,0,0,0,21,yolov8n.pt,0.15
bytetrack_persist_1,class,bottle,10,0,0,1,9,yolov8n.pt,0.15
bytetrack_persist_1,class,chair,208,1,0,8,199,yolov8n.pt,0.15
bytetrack_persist_1,class,couch,6,0,0,0,6,yolov8n.pt,0.15
bytetrack_persist_1,class,dining table,34,0,0,0,34,yolov8n.pt,0.15
bytetrack_persist_1,class,dog,1,0,0,0,1,yolov8n.pt,0.15
bytetrack_persist_1,class,person,64,0,0,14,50,yolov8n.pt,0.15
bytetrack_persist_1,video,video1,71,1,0,5,65,yolov8n.pt,0.15
bytetrack_persist_1,video,video2,49,0,0,1,48,yolov8n.pt,0.15
bytetrack_persist_1,video,video3,64,0,0,4,60,yolov8n.pt,0.15
bytetrack_persist_1,video,video4,76,0,0,13,63,yolov8n.pt,0.15
bytetrack_persist_1,video,video5,15,0,0,0,15,yolov8n.pt,0.15
bytetrack_persist_1,video,video6,34,0,0,0,34,yolov8n.pt,0.15
bytetrack_persist_1,video,video7,35,0,0,0,35,yolov8n.pt,0.15
bytetrack_persist_3,severity,clear,125,2,0,14,109,yolov8n.pt,0.15
bytetrack_persist_3,severity,moderate_blur,154,0,0,8,146,yolov8n.pt,0.15
bytetrack_persist_3,severity,severe_blur,65,0,0,1,64,yolov8n.pt,0.15
bytetrack_persist_3,class,backpack,21,0,0,0,21,yolov8n.pt,0.15
bytetrack_persist_3,class,bottle,10,0,0,1,9,yolov8n.pt,0.15
bytetrack_persist_3,class,chair,208,2,0,8,198,yolov8n.pt,0.15
bytetrack_persist_3,class,couch,6,0,0,0,6,yolov8n.pt,0.15
bytetrack_persist_3,class,dining table,34,0,0,0,34,yolov8n.pt,0.15
bytetrack_persist_3,class,dog,1,0,0,0,1,yolov8n.pt,0.15
bytetrack_persist_3,class,person,64,0,0,14,50,yolov8n.pt,0.15
bytetrack_persist_3,video,video1,71,2,0,5,64,yolov8n.pt,0.15
bytetrack_persist_3,video,video2,49,0,0,1,48,yolov8n.pt,0.15
bytetrack_persist_3,video,video3,64,0,0,4,60,yolov8n.pt,0.15
bytetrack_persist_3,video,video4,76,0,0,13,63,yolov8n.pt,0.15
bytetrack_persist_3,video,video5,15,0,0,0,15,yolov8n.pt,0.15
bytetrack_persist_3,video,video6,34,0,0,0,34,yolov8n.pt,0.15
bytetrack_persist_3,video,video7,35,0,0,0,35,yolov8n.pt,0.15
bytetrack_persist_5,severity,clear,125,2,0,14,109,yolov8n.pt,0.15
bytetrack_persist_5,severity,moderate_blur,154,0,0,8,146,yolov8n.pt,0.15
bytetrack_persist_5,severity,severe_blur,65,0,0,1,64,yolov8n.pt,0.15
bytetrack_persist_5,class,backpack,21,0,0,0,21,yolov8n.pt,0.15
bytetrack_persist_5,class,bottle,10,0,0,1,9,yolov8n.pt,0.15
bytetrack_persist_5,class,chair,208,2,0,8,198,yolov8n.pt,0.15
bytetrack_persist_5,class,couch,6,0,0,0,6,yolov8n.pt,0.15
bytetrack_persist_5,class,dining table,34,0,0,0,34,yolov8n.pt,0.15
bytetrack_persist_5,class,dog,1,0,0,0,1,yolov8n.pt,0.15
bytetrack_persist_5,class,person,64,0,0,14,50,yolov8n.pt,0.15
bytetrack_persist_5,video,video1,71,2,0,5,64,yolov8n.pt,0.15
bytetrack_persist_5,video,video2,49,0,0,1,48,yolov8n.pt,0.15
bytetrack_persist_5,video,video3,64,0,0,4,60,yolov8n.pt,0.15
bytetrack_persist_5,video,video4,76,0,0,13,63,yolov8n.pt,0.15
bytetrack_persist_5,video,video5,15,0,0,0,15,yolov8n.pt,0.15
bytetrack_persist_5,video,video6,34,0,0,0,34,yolov8n.pt,0.15
bytetrack_persist_5,video,video7,35,0,0,0,35,yolov8n.pt,0.15
