model,confidence_threshold,frame_id,video,quality_group,method,class_id,n_gt,raw_detected,raw_tp_count,raw_confidence,method_detected,method_tp_count,method_confidence,outcome
yolov8n.pt,0.15,video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_quality_weighted,39,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_fixed,0,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_fixed,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_fixed,56,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_fixed,39,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_quality_weighted,0,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_quality_weighted,56,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00113_t03.77_severe_blur,video3,severe_blur,temporal_quality_weighted,39,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00145_t04.83_moderate_blur,video3,moderate_blur,temporal_fixed,0,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00145_t04.83_moderate_blur,video3,moderate_blur,temporal_fixed,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00145_t04.83_moderate_blur,video3,moderate_blur,temporal_fixed,56,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00145_t04.83_moderate_blur,video3,moderate_blur,temporal_quality_weighted,0,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00145_t04.83_moderate_blur,video3,moderate_blur,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00145_t04.83_moderate_blur,video3,moderate_blur,temporal_quality_weighted,56,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00161_t05.37_moderate_blur,video3,moderate_blur,temporal_fixed,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00161_t05.37_moderate_blur,video3,moderate_blur,temporal_fixed,56,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00161_t05.37_moderate_blur,video3,moderate_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00161_t05.37_moderate_blur,video3,moderate_blur,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00161_t05.37_moderate_blur,video3,moderate_blur,temporal_quality_weighted,56,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00161_t05.37_moderate_blur,video3,moderate_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00177_t05.90_moderate_blur,video3,moderate_blur,temporal_fixed,0,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00177_t05.90_moderate_blur,video3,moderate_blur,temporal_fixed,56,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00177_t05.90_moderate_blur,video3,moderate_blur,temporal_quality_weighted,0,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00177_t05.90_moderate_blur,video3,moderate_blur,temporal_quality_weighted,56,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00210_t07.00_severe_blur,video3,severe_blur,temporal_fixed,0,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00210_t07.00_severe_blur,video3,severe_blur,temporal_fixed,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00210_t07.00_severe_blur,video3,severe_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00210_t07.00_severe_blur,video3,severe_blur,temporal_quality_weighted,0,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00210_t07.00_severe_blur,video3,severe_blur,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00210_t07.00_severe_blur,video3,severe_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00242_t08.07_severe_blur,video3,severe_blur,temporal_fixed,24,1,False,0,,False,0,,still_missed
