model,confidence_threshold,video,frame,filter,n_detections,mean_confidence,preprocess_ms,yolo_ms,total_ms,annotated
yolov8n.pt,0.15,video1,v01_20-16_f00352_t11.85_moderate_blur.png,raw,1,0.192,0.0,50.963,50.963,True
yolov8n.pt,0.15,video1,v01_20-16_f00352_t11.85_moderate_blur.png,gaussian,1,0.1669,0.647,51.083,51.73,True
yolov8n.pt,0.15,video1,v01_20-16_f00352_t11.85_moderate_blur.png,bilateral,1,0.1733,8.607,52.231,60.838,True
yolov8n.pt,0.15,video1,v01_20-16_f00352_t11.85_moderate_blur.png,wiener_denoise,1,0.1625,37.705,51.348,89.053,True
yolov8n.pt,0.15,video1,v01_20-16_f00352_t11.85_moderate_blur.png,wiener_deconv,1,0.1826,56.834,56.706,113.541,True
yolov8n.pt,0.15,video1,v01_20-16_f00352_t11.85_moderate_blur.png,clahe,4,0.2364,2.783,45.841,48.624,True
yolov8n.pt,0.15,video1,v01_20-16_f00379_t12.75_severe_blur.png,raw,0,0.0,0.001,48.484,48.485,True
yolov8n.pt,0.15,video1,v01_20-16_f00379_t12.75_severe_blur.png,gaussian,0,0.0,0.504,46.809,47.314,True
yolov8n.pt,0.15,video1,v01_20-16_f00379_t12.75_severe_blur.png,bilateral,0,0.0,8.614,38.407,47.02,True
yolov8n.pt,0.15,video1,v01_20-16_f00379_t12.75_severe_blur.png,wiener_denoise,0,0.0,51.843,57.201,109.044,True
yolov8n.pt,0.15,video1,v01_20-16_f00379_t12.75_severe_blur.png,wiener_deconv,0,0.0,57.6,51.697,109.297,True
yolov8n.pt,0.15,video1,v01_20-16_f00379_t12.75_severe_blur.png,clahe,0,0.0,2.644,46.377,49.021,True
yolov8n.pt,0.15,video1,v01_20-16_f00433_t14.57_severe_blur.png,raw,0,0.0,0.0,40.952,40.953,True
yolov8n.pt,0.15,video1,v01_20-16_f00433_t14.57_severe_blur.png,gaussian,0,0.0,0.515,46.065,46.579,True
yolov8n.pt,0.15,video1,v01_20-16_f00433_t14.57_severe_blur.png,bilateral,0,0.0,8.558,44.671,53.229,True
yolov8n.pt,0.15,video1,v01_20-16_f00433_t14.57_severe_blur.png,wiener_denoise,0,0.0,47.322,55.6,102.922,True
yolov8n.pt,0.15,video1,v01_20-16_f00433_t14.57_severe_blur.png,wiener_deconv,0,0.0,53.986,48.231,102.218,True
yolov8n.pt,0.15,video1,v01_20-16_f00433_t14.57_severe_blur.png,clahe,0,0.0,4.055,48.864,52.919,True
yolov8n.pt,0.15,video1,v01_20-16_f00487_t16.39_moderate_blur.png,raw,0,0.0,0.0,45.283,45.284,True
yolov8n.pt,0.15,video1,v01_20-16_f00487_t16.39_moderate_blur.png,gaussian,0,0.0,0.617,48.631,49.248,True
yolov8n.pt,0.15,video1,v01_20-16_f00487_t16.39_moderate_blur.png,bilateral,0,0.0,8.783,46.698,55.48,True
yolov8n.pt,0.15,video1,v01_20-16_f00487_t16.39_moderate_blur.png,wiener_denoise,0,0.0,37.933,49.849,87.781,True
yolov8n.pt,0.15,video1,v01_20-16_f00487_t16.39_moderate_blur.png,wiener_deconv,0,0.0,60.782,58.217,118.999,True
yolov8n.pt,0.15,video1,v01_20-16_f00487_t16.39_moderate_blur.png,clahe,0,0.0,2.409,50.999,53.408,True
yolov8n.pt,0.15,video1,v01_20-16_f00541_t18.21_severe_blur.png,raw,0,0.0,0.001,49.243,49.244,True
yolov8n.pt,0.15,video1,v01_20-16_f00541_t18.21_severe_blur.png,gaussian,0,0.0,0.501,50.612,51.113,True
yolov8n.pt,0.15,video1,v01_20-16_f00541_t18.21_severe_blur.png,bilateral,0,0.0,9.208,45.35,54.558,True
yolov8n.pt,0.15,video1,v01_20-16_f00541_t18.21_severe_blur.png,wiener_denoise,0,0.0,38.763,47.464,86.227,True
yolov8n.pt,0.15,video1,v01_20-16_f00541_t18.21_severe_blur.png,wiener_deconv,0,0.0,55.33,47.111,102.441,True
yolov8n.pt,0.15,video1,v01_20-16_f00541_t18.21_severe_blur.png,clahe,0,0.0,2.809,48.323,51.132,True
yolov8n.pt,0.15,video2,v02_20-18_f00000_t00.00_clear.png,raw,0,0.0,0.0,45.56,45.561,True
yolov8n.pt,0.15,video2,v02_20-18_f00000_t00.00_clear.png,gaussian,0,0.0,0.591,49.815,50.407,True
yolov8n.pt,0.15,video2,v02_20-18_f00000_t00.00_clear.png,bilateral,0,0.0,8.611,45.62,54.231,True
yolov8n.pt,0.15,video2,v02_20-18_f00000_t00.00_clear.png,wiener_denoise,0,0.0,33.634,50.616,84.251,True
yolov8n.pt,0.15,video2,v02_20-18_f00000_t00.00_clear.png,wiener_deconv,0,0.0,52.896,46.847,99.743,True
yolov8n.pt,0.15,video2,v02_20-18_f00000_t00.00_clear.png,clahe,0,0.0,2.394,47.077,49.471,True
yolov8n.pt,0.15,video2,v02_20-18_f00037_t01.23_moderate_blur.png,raw,0,0.0,0.0,53.555,53.555,True
yolov8n.pt,0.15,video2,v02_20-18_f00037_t01.23_moderate_blur.png,gaussian,0,0.0,0.513,55.945,56.459,True
yolov8n.pt,0.15,video2,v02_20-18_f00037_t01.23_moderate_blur.png,bilateral,0,0.0,8.354,42.537,50.89,True
yolov8n.pt,0.15,video2,v02_20-18_f00037_t01.23_moderate_blur.png,wiener_denoise,0,0.0,39.657,45.399,85.056,True
yolov8n.pt,0.15,video2,v02_20-18_f00037_t01.23_moderate_blur.png,wiener_deconv,0,0.0,52.121,57.408,109.529,True
yolov8n.pt,0.15,video2,v02_20-18_f00037_t01.23_moderate_blur.png,clahe,0,0.0,2.855,45.864,48.718,True
yolov8n.pt,0.15,video2,v02_20-18_f00113_t03.77_clear.png,raw,0,0.0,0.0,48.889,48.889,True
yolov8n.pt,0.15,video2,v02_20-18_f00113_t03.77_clear.png,gaussian,0,0.0,0.525,53.378,53.903,True
yolov8n.pt,0.15,video2,v02_20-18_f00113_t03.77_clear.png,bilateral,0,0.0,8.653,45.694,54.346,True
yolov8n.pt,0.15,video2,v02_20-18_f00113_t03.77_clear.png,wiener_denoise,0,0.0,42.5,49.639,92.138,True
yolov8n.pt,0.15,video2,v02_20-18_f00113_t03.77_clear.png,wiener_deconv,0,0.0,52.794,47.815,100.609,True
yolov8n.pt,0.15,video2,v02_20-18_f00113_t03.77_clear.png,clahe,0,0.0,3.789,45.382,49.171,True
yolov8n.pt,0.15,video2,v02_20-18_f00151_t05.03_moderate_blur.png,raw,0,0.0,0.007,48.244,48.251,True
yolov8n.pt,0.15,video2,v02_20-18_f00151_t05.03_moderate_blur.png,gaussian,0,0.0,0.516,46.498,47.014,True
yolov8n.pt,0.15,video2,v02_20-18_f00151_t05.03_moderate_blur.png,bilateral,0,0.0,8.873,51.33,60.203,True
yolov8n.pt,0.15,video2,v02_20-18_f00151_t05.03_moderate_blur.png,wiener_denoise,0,0.0,39.634,42.135,81.769,True
yolov8n.pt,0.15,video2,v02_20-18_f00151_t05.03_moderate_blur.png,wiener_deconv,0,0.0,59.639,48.675,108.313,True
yolov8n.pt,0.15,video2,v02_20-18_f00151_t05.03_moderate_blur.png,clahe,0,0.0,2.897,50.161,53.059,True
yolov8n.pt,0.15,video2,v02_20-18_f00189_t06.30_severe_blur.png,raw,0,0.0,0.0,46.943,46.943,True
yolov8n.pt,0.15,video2,v02_20-18_f00189_t06.30_severe_blur.png,gaussian,0,0.0,0.508,47.597,48.105,True
yolov8n.pt,0.15,video2,v02_20-18_f00189_t06.30_severe_blur.png,bilateral,0,0.0,8.585,63.901,72.486,True
yolov8n.pt,0.15,video2,v02_20-18_f00189_t06.30_severe_blur.png,wiener_denoise,0,0.0,36.355,45.043,81.398,True
yolov8n.pt,0.15,video2,v02_20-18_f00189_t06.30_severe_blur.png,wiener_deconv,0,0.0,51.959,47.465,99.423,True
yolov8n.pt,0.15,video2,v02_20-18_f00189_t06.30_severe_blur.png,clahe,0,0.0,2.793,48.689,51.482,True
yolov8n.pt,0.15,video2,v02_20-18_f00264_t08.80_moderate_blur.png,raw,0,0.0,0.0,52.738,52.738,True
yolov8n.pt,0.15,video2,v02_20-18_f00264_t08.80_moderate_blur.png,gaussian,0,0.0,0.497,42.6,43.097,True
yolov8n.pt,0.15,video2,v02_20-18_f00264_t08.80_moderate_blur.png,bilateral,0,0.0,8.737,40.261,48.999,True
yolov8n.pt,0.15,video2,v02_20-18_f00264_t08.80_moderate_blur.png,wiener_denoise,0,0.0,44.335,55.458,99.793,True
yolov8n.pt,0.15,video2,v02_20-18_f00264_t08.80_moderate_blur.png,wiener_deconv,0,0.0,55.573,54.706,110.278,True
yolov8n.pt,0.15,video2,v02_20-18_f00264_t08.80_moderate_blur.png,clahe,0,0.0,2.367,53.27,55.638,True
yolov8n.pt,0.15,video2,v02_20-18_f00340_t11.33_clear.png,raw,0,0.0,0.001,48.113,48.114,True
yolov8n.pt,0.15,video2,v02_20-18_f00340_t11.33_clear.png,gaussian,0,0.0,0.533,53.081,53.614,True
yolov8n.pt,0.15,video2,v02_20-18_f00340_t11.33_clear.png,bilateral,0,0.0,8.857,47.358,56.215,True
yolov8n.pt,0.15,video2,v02_20-18_f00340_t11.33_clear.png,wiener_denoise,0,0.0,42.667,47.231,89.898,True
yolov8n.pt,0.15,video2,v02_20-18_f00340_t11.33_clear.png,wiener_deconv,0,0.0,55.262,56.587,111.849,True
yolov8n.pt,0.15,video2,v02_20-18_f00340_t11.33_clear.png,clahe,2,0.4098,2.492,36.714,39.206,True
