video,frame,filter,n_detections,mean_confidence,preprocess_ms,yolo_ms,total_ms,annotated
video1,v01_20-16_f00379_t12.75_severe_blur.png,clahe,0,0.0,3.004,19.503,22.507,True
video1,v01_20-16_f00433_t14.57_severe_blur.png,raw,0,0.0,0.0,24.159,24.16,True
video1,v01_20-16_f00433_t14.57_severe_blur.png,gaussian,0,0.0,0.749,16.479,17.228,True
video1,v01_20-16_f00433_t14.57_severe_blur.png,bilateral,0,0.0,9.886,18.141,28.027,True
video1,v01_20-16_f00433_t14.57_severe_blur.png,wiener_denoise,0,0.0,50.578,19.224,69.802,True
video1,v01_20-16_f00433_t14.57_severe_blur.png,wiener_deconv,0,0.0,65.377,18.038,83.415,True
video1,v01_20-16_f00433_t14.57_severe_blur.png,clahe,0,0.0,3.06,21.178,24.238,True
video1,v01_20-16_f00487_t16.39_moderate_blur.png,raw,0,0.0,0.0,18.28,18.281,True
video1,v01_20-16_f00487_t16.39_moderate_blur.png,gaussian,0,0.0,0.608,16.17,16.778,True
video1,v01_20-16_f00487_t16.39_moderate_blur.png,bilateral,0,0.0,9.312,19.58,28.892,True
video1,v01_20-16_f00487_t16.39_moderate_blur.png,wiener_denoise,0,0.0,66.745,30.217,96.962,True
video1,v01_20-16_f00487_t16.39_moderate_blur.png,wiener_deconv,0,0.0,78.691,28.723,107.414,True
video1,v01_20-16_f00487_t16.39_moderate_blur.png,clahe,0,0.0,3.732,21.608,25.34,True
video1,v01_20-16_f00541_t18.21_severe_blur.png,raw,0,0.0,0.0,37.035,37.035,True
video1,v01_20-16_f00541_t18.21_severe_blur.png,gaussian,0,0.0,0.528,18.51,19.038,True
video1,v01_20-16_f00541_t18.21_severe_blur.png,bilateral,0,0.0,14.441,24.648,39.089,True
video1,v01_20-16_f00541_t18.21_severe_blur.png,wiener_denoise,0,0.0,62.522,20.017,82.539,True
video1,v01_20-16_f00541_t18.21_severe_blur.png,wiener_deconv,0,0.0,76.552,30.693,107.245,True
video1,v01_20-16_f00541_t18.21_severe_blur.png,clahe,0,0.0,4.393,52.288,56.68,True
video2,v02_20-18_f00000_t00.00_clear.png,raw,0,0.0,0.0,22.783,22.784,True
video2,v02_20-18_f00000_t00.00_clear.png,gaussian,0,0.0,0.571,16.823,17.394,True
video2,v02_20-18_f00000_t00.00_clear.png,bilateral,0,0.0,11.59,16.767,28.357,True
video2,v02_20-18_f00000_t00.00_clear.png,wiener_denoise,0,0.0,50.1,18.619,68.719,True
video2,v02_20-18_f00000_t00.00_clear.png,wiener_deconv,0,0.0,69.483,24.688,94.171,True
video2,v02_20-18_f00000_t00.00_clear.png,clahe,0,0.0,3.398,20.78,24.178,True
video2,v02_20-18_f00037_t01.23_moderate_blur.png,raw,2,0.2247,0.002,29.499,29.501,True
video2,v02_20-18_f00037_t01.23_moderate_blur.png,gaussian,1,0.1626,0.517,17.872,18.389,True
video2,v02_20-18_f00037_t01.23_moderate_blur.png,bilateral,0,0.0,10.364,17.34,27.704,True
video2,v02_20-18_f00037_t01.23_moderate_blur.png,wiener_denoise,0,0.0,45.586,20.248,65.835,True
video2,v02_20-18_f00037_t01.23_moderate_blur.png,wiener_deconv,0,0.0,62.592,21.423,84.015,True
