frame_id,quality_group,gt_index,class_id,class_name,raw_detected,raw_confidence,gaussian_detected,gaussian_confidence,bilateral_detected,bilateral_confidence,wiener_denoise_detected,wiener_denoise_confidence,wiener_deconv_detected,wiener_deconv_confidence,clahe_detected,clahe_confidence,temporal_fixed_detected,temporal_fixed_confidence,temporal_quality_weighted_detected,temporal_quality_weighted_confidence,any_method_detected,num_methods_detecting,detected_by,unique_rescuer
video1/v01_20-16_f00189_t06.36_clear,clear,15,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00189_t06.36_clear,clear,16,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00270_t09.09_moderate_blur,moderate_blur,0,56,chair,True,0.6182,True,0.4821,True,0.3013,True,0.4847,False,,True,0.1902,False,,False,,True,5,raw|gaussian|bilateral|wiener_denoise|clahe,
video1/v01_20-16_f00270_t09.09_moderate_blur,moderate_blur,1,56,chair,True,0.5294,True,0.4782,True,0.3012,True,0.441,False,,True,0.4754,False,,False,,True,5,raw|gaussian|bilateral|wiener_denoise|clahe,
video1/v01_20-16_f00270_t09.09_moderate_blur,moderate_blur,2,56,chair,True,0.4264,True,0.4223,True,0.3304,True,0.3921,False,,True,0.239,False,,False,,True,5,raw|gaussian|bilateral|wiener_denoise|clahe,
video1/v01_20-16_f00270_t09.09_moderate_blur,moderate_blur,3,56,chair,True,0.1944,False,,False,,False,,False,,False,,False,,False,,True,1,raw,raw
video1/v01_20-16_f00270_t09.09_moderate_blur,moderate_blur,4,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00270_t09.09_moderate_blur,moderate_blur,5,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00270_t09.09_moderate_blur,moderate_blur,6,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00325_t10.94_clear,clear,0,56,chair,True,0.324,True,0.4262,False,,True,0.2577,False,,False,,False,,False,,True,3,raw|gaussian|wiener_denoise,
video1/v01_20-16_f00325_t10.94_clear,clear,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00325_t10.94_clear,clear,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00325_t10.94_clear,clear,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00352_t11.85_moderate_blur,moderate_blur,0,56,chair,True,0.7644,True,0.7983,True,0.6639,True,0.7166,False,,False,,True,0.3365,True,0.1892,True,6,raw|gaussian|bilateral|wiener_denoise|temporal_fixed|temporal_quality_weighted,
video1/v01_20-16_f00352_t11.85_moderate_blur,moderate_blur,1,56,chair,True,0.635,True,0.6284,True,0.351,True,0.4284,False,,True,0.2333,True,0.1874,False,,True,6,raw|gaussian|bilateral|wiener_denoise|clahe|temporal_fixed,
video1/v01_20-16_f00352_t11.85_moderate_blur,moderate_blur,2,56,chair,True,0.3414,True,0.4517,False,,True,0.2834,False,,False,,False,,False,,True,3,raw|gaussian|wiener_denoise,
video1/v01_20-16_f00352_t11.85_moderate_blur,moderate_blur,3,56,chair,True,0.282,True,0.2667,True,0.2126,True,0.2248,False,,True,0.1658,False,,False,,True,5,raw|gaussian|bilateral|wiener_denoise|clahe,
video1/v01_20-16_f00352_t11.85_moderate_blur,moderate_blur,4,56,chair,True,0.151,True,0.159,False,,False,,False,,True,0.2002,True,0.1965,False,,True,4,raw|gaussian|clahe|temporal_fixed,
video1/v01_20-16_f00352_t11.85_moderate_blur,moderate_blur,5,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00352_t11.85_moderate_blur,moderate_blur,6,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00352_t11.85_moderate_blur,moderate_blur,7,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00352_t11.85_moderate_blur,moderate_blur,8,56,chair,False,,False,,False,,False,,False,,True,0.2204,False,,False,,True,1,clahe,clahe
video1/v01_20-16_f00352_t11.85_moderate_blur,moderate_blur,9,56,chair,False,,False,,False,,False,,False,,True,0.1576,True,0.1549,True,0.1647,True,3,clahe|temporal_fixed|temporal_quality_weighted,
video1/v01_20-16_f00379_t12.75_severe_blur,severe_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00379_t12.75_severe_blur,severe_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00379_t12.75_severe_blur,severe_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00433_t14.57_severe_blur,severe_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00433_t14.57_severe_blur,severe_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00433_t14.57_severe_blur,severe_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00433_t14.57_severe_blur,severe_blur,3,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00487_t16.39_moderate_blur,moderate_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00487_t16.39_moderate_blur,moderate_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00487_t16.39_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00487_t16.39_moderate_blur,moderate_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00487_t16.39_moderate_blur,moderate_blur,4,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00541_t18.21_severe_blur,severe_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00541_t18.21_severe_blur,severe_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00541_t18.21_severe_blur,severe_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00541_t18.21_severe_blur,severe_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00541_t18.21_severe_blur,severe_blur,4,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00000_t00.00_clear,clear,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00000_t00.00_clear,clear,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00000_t00.00_clear,clear,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00000_t00.00_clear,clear,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00000_t00.00_clear,clear,4,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00037_t01.23_moderate_blur,moderate_blur,0,56,chair,True,0.2438,True,0.1626,False,,False,,False,,False,,False,,False,,True,2,raw|gaussian,
video2/v02_20-18_f00037_t01.23_moderate_blur,moderate_blur,1,56,chair,True,0.2057,False,,False,,False,,False,,False,,False,,False,,True,1,raw,raw
video2/v02_20-18_f00037_t01.23_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00037_t01.23_moderate_blur,moderate_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00037_t01.23_moderate_blur,moderate_blur,4,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00037_t01.23_moderate_blur,moderate_blur,5,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00113_t03.77_clear,clear,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00113_t03.77_clear,clear,1,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00151_t05.03_moderate_blur,moderate_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00151_t05.03_moderate_blur,moderate_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00151_t05.03_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00151_t05.03_moderate_blur,moderate_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00151_t05.03_moderate_blur,moderate_blur,4,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00189_t06.30_severe_blur,severe_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00189_t06.30_severe_blur,severe_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00264_t08.80_moderate_blur,moderate_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00264_t08.80_moderate_blur,moderate_blur,1,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00264_t08.80_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00340_t11.33_clear,clear,0,56,chair,True,0.4917,True,0.4374,True,0.3036,True,0.3903,False,,True,0.4915,True,0.5676,True,0.5531,True,7,raw|gaussian|bilateral|wiener_denoise|clahe|temporal_fixed|temporal_quality_weighted,
video2/v02_20-18_f00340_t11.33_clear,clear,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00340_t11.33_clear,clear,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00340_t11.33_clear,clear,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00340_t11.33_clear,clear,4,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00453_t15.10_severe_blur,severe_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00453_t15.10_severe_blur,severe_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00453_t15.10_severe_blur,severe_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00453_t15.10_severe_blur,severe_blur,3,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00567_t18.90_moderate_blur,moderate_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00567_t18.90_moderate_blur,moderate_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00567_t18.90_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00567_t18.90_moderate_blur,moderate_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00567_t18.90_moderate_blur,moderate_blur,4,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00567_t18.90_moderate_blur,moderate_blur,5,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00567_t18.90_moderate_blur,moderate_blur,6,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00680_t22.67_severe_blur,severe_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00680_t22.67_severe_blur,severe_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00680_t22.67_severe_blur,severe_blur,2,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00680_t22.67_severe_blur,severe_blur,3,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00718_t23.93_clear,clear,0,56,chair,True,0.6877,True,0.6014,True,0.3825,True,0.5927,False,,True,0.41,True,0.2575,False,,True,6,raw|gaussian|bilateral|wiener_denoise|clahe|temporal_fixed,
video2/v02_20-18_f00718_t23.93_clear,clear,1,56,chair,False,,False,,False,,False,,False,,True,0.1637,False,,False,,True,1,clahe,clahe
video2/v02_20-18_f00794_t26.47_moderate_blur,moderate_blur,0,56,chair,True,0.3634,True,0.2146,False,,True,0.1657,False,,False,,False,,False,,True,3,raw|gaussian|wiener_denoise,
video2/v02_20-18_f00794_t26.47_moderate_blur,moderate_blur,1,56,chair,False,,False,,False,,False,,False,,True,0.2457,True,0.1544,False,,True,2,clahe|temporal_fixed,
video2/v02_20-18_f00794_t26.47_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video2/v02_20-18_f00794_t26.47_moderate_blur,moderate_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00000_t00.00_clear,clear,0,0,person,True,0.9103,True,0.9006,True,0.9086,True,0.9065,False,,True,0.8793,True,0.8891,True,0.8763,True,7,raw|gaussian|bilateral|wiener_denoise|clahe|temporal_fixed|temporal_quality_weighted,
video3/v03_20-20_f00000_t00.00_clear,clear,1,56,chair,True,0.5586,True,0.5251,True,0.4917,True,0.5789,False,,True,0.1616,True,0.67,True,0.6931,True,7,raw|gaussian|bilateral|wiener_denoise|clahe|temporal_fixed|temporal_quality_weighted,
video3/v03_20-20_f00000_t00.00_clear,clear,2,39,bottle,True,0.4599,True,0.3325,False,,True,0.306,False,,True,0.355,True,0.3294,True,0.3053,True,6,raw|gaussian|wiener_denoise|clahe|temporal_fixed|temporal_quality_weighted,
video3/v03_20-20_f00000_t00.00_clear,clear,3,0,person,True,0.1896,True,0.2383,True,0.1996,True,0.2196,False,,False,,True,0.3881,True,0.3995,True,6,raw|gaussian|bilateral|wiener_denoise|temporal_fixed|temporal_quality_weighted,
video3/v03_20-20_f00000_t00.00_clear,clear,4,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00000_t00.00_clear,clear,5,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00000_t00.00_clear,clear,6,24,backpack,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00000_t00.00_clear,clear,7,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00000_t00.00_clear,clear,8,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00016_t00.53_clear,clear,0,56,chair,True,0.2555,True,0.17,True,0.2489,True,0.2538,False,,False,,False,,False,,True,4,raw|gaussian|bilateral|wiener_denoise,
video3/v03_20-20_f00016_t00.53_clear,clear,1,56,chair,False,,False,,False,,True,0.1676,False,,False,,False,,False,,True,1,wiener_denoise,wiener_denoise
video3/v03_20-20_f00016_t00.53_clear,clear,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00016_t00.53_clear,clear,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00016_t00.53_clear,clear,4,56,chair,False,,True,0.2215,False,,True,0.2076,False,,False,,False,,False,,True,2,gaussian|wiener_denoise,
video3/v03_20-20_f00016_t00.53_clear,clear,5,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00016_t00.53_clear,clear,6,39,bottle,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00048_t01.60_moderate_blur,moderate_blur,0,24,backpack,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00048_t01.60_moderate_blur,moderate_blur,1,39,bottle,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00048_t01.60_moderate_blur,moderate_blur,2,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00048_t01.60_moderate_blur,moderate_blur,3,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00048_t01.60_moderate_blur,moderate_blur,4,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00048_t01.60_moderate_blur,moderate_blur,5,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00064_t02.13_clear,clear,0,24,backpack,True,0.3142,False,,False,,False,,False,,False,,True,0.345,True,0.2857,True,3,raw|temporal_fixed|temporal_quality_weighted,
video3/v03_20-20_f00064_t02.13_clear,clear,1,0,person,False,,True,0.2138,True,0.2331,True,0.1517,False,,False,,False,,False,,True,3,gaussian|bilateral|wiener_denoise,
video3/v03_20-20_f00064_t02.13_clear,clear,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00064_t02.13_clear,clear,3,0,person,False,,False,,False,,False,,False,,False,,True,0.1729,False,,True,1,temporal_fixed,temporal_fixed
video3/v03_20-20_f00064_t02.13_clear,clear,4,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00064_t02.13_clear,clear,5,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00064_t02.13_clear,clear,6,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00080_t02.67_moderate_blur,moderate_blur,0,24,backpack,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
