degradation,severity,filter,psnr,ssim,precision,recall,map50,preprocess_ms,yolo_ms,total_ms,n_images
low_light,severe,bilateral,7.425,0.1933,0.8125,0.0466,0.0404,12.221,43.645,55.867,40
low_light,severe,wiener_denoise,7.415,0.1793,0.7273,0.0287,0.0258,69.059,41.258,110.317,40
low_light,severe,wiener_deconv,7.712,0.0254,0.0,0.0,0.0,65.487,43.182,108.669,40
low_light,severe,clahe,9.41,0.131,0.6667,0.0072,0.0009,4.345,41.828,46.173,40
glare,mild,raw,18.244,0.9266,0.7744,0.5412,0.5252,0.001,38.34,38.341,40
glare,mild,gaussian,17.639,0.7666,0.7706,0.4695,0.4863,0.739,40.802,41.541,40
glare,mild,bilateral,18.194,0.8731,0.756,0.5663,0.4902,12.113,45.024,57.136,40
glare,mild,wiener_denoise,18.203,0.8016,0.7824,0.5412,0.4779,73.779,46.09,119.869,40
glare,mild,wiener_deconv,11.888,0.2062,0.3333,0.0143,0.0085,71.805,50.504,122.31,40
glare,mild,clahe,16.889,0.7747,0.768,0.5341,0.5179,4.447,44.373,48.82,40
glare,medium,raw,13.649,0.8119,0.7826,0.5161,0.4737,0.002,46.184,46.185,40
glare,medium,gaussian,13.525,0.7018,0.7975,0.4659,0.4602,1.052,47.193,48.245,40
glare,medium,bilateral,13.651,0.7957,0.7512,0.5412,0.4549,13.309,47.83,61.138,40
glare,medium,wiener_denoise,13.743,0.7344,0.7824,0.5412,0.4815,63.013,45.998,109.011,40
glare,medium,wiener_deconv,10.503,0.2034,0.3636,0.0143,0.0086,60.804,48.247,109.052,40
glare,medium,clahe,13.727,0.7004,0.7581,0.5054,0.4437,4.752,59.303,64.056,40
glare,severe,raw,10.893,0.6799,0.738,0.4946,0.4401,0.001,49.215,49.216,40
glare,severe,gaussian,10.892,0.6151,0.7875,0.4516,0.4531,0.855,50.268,51.122,40
glare,severe,bilateral,10.896,0.6846,0.7192,0.5233,0.4457,12.058,48.606,60.664,40
glare,severe,wiener_denoise,11.002,0.6437,0.7892,0.5233,0.4569,81.186,56.18,137.366,40
glare,severe,wiener_deconv,9.293,0.204,0.3,0.0108,0.0143,58.561,49.456,108.017,40
glare,severe,clahe,11.232,0.6166,0.7419,0.4946,0.4193,4.483,56.752,61.235,40
